variable_x,variable_y,method,coefficient,raw_p_value,bh_adjusted_p_value,n
lidar_distance_m,wheel_torque_fr,pearson,-0.0023335517778065116,0.81550801877350221,0.84780536605166079,10000
lidar_distance_m,wheel_torque_rl,pearson,0.0019021922841139017,0.84915584188766502,0.87413101370789048,10000
lidar_distance_m,wheel_torque_rr,pearson,-0.0014475222708049771,0.88492072957768819,0.90210365636560441,10000
lidar_distance_m,ambient_temp_c,pearson,0.06383503885151634,1.6673121310000949e-10,2.5009681965001424e-10,10000
lidar_distance_m,battery_soc_roll_mean_50,pearson,0.15940230202148564,6.6187951485437429e-58,1.3364874819174865e-57,10000
lidar_distance_m,battery_soc_roll_std_50,pearson,0.060179897023400583,1.7153522984923725e-09,2.5015554353013765e-09,10000
lidar_distance_m,cumulative_distance_m,pearson,-0.17186313338027254,3.7449644769626237e-67,8.0249238792056217e-67,10000
lidar_distance_m,wheel_imbalance_score,pearson,0.014334509231964634,0.15175916308964923,0.17134099058508784,10000
lidar_distance_m,lidar_saturation_rate,pearson,-0.052641628643086927,1.3855285938388552e-07,1.9659527345010783e-07,10000
lidar_distance_m,composite_health_score,pearson,0.12700555545947123,3.0923379775233412e-37,5.5033133498296744e-37,10000
battery_soc,wheel_torque_fl,pearson,0.22349097508356805,2.0442422655756639e-113,5.2352545825718214e-113,10000
battery_soc,wheel_torque_fr,pearson,0.23060692416505935,7.9469859992777365e-121,2.3178709164560065e-120,10000
battery_soc,wheel_torque_rl,pearson,0.23435430449876715,7.8395919015289798e-125,2.4944156050319483e-124,10000
battery_soc,wheel_torque_rr,pearson,0.21895442107626917,7.9675227982733018e-109,1.7799784974865887e-108,10000
battery_soc,ambient_temp_c,pearson,0.58224299942879565,0,0,10000
battery_soc,battery_soc_roll_mean_50,pearson,0.75516379453313931,0,0,10000
battery_soc,battery_soc_roll_std_50,pearson,-0.0406790909383829,4.7198173715969551e-05,6.2731749875655731e-05,10000
battery_soc,cumulative_distance_m,pearson,-0.74890232973780479,0,0,10000
battery_soc,wheel_imbalance_score,pearson,-0.028466827603601735,0.0044146700865186862,0.005518337608148358,10000
battery_soc,lidar_saturation_rate,pearson,-0.013934985599802888,0.16350128037294037,0.18263440892722063,10000
battery_soc,composite_health_score,pearson,0.97827032283389503,0,0,10000
wheel_torque_fl,wheel_torque_fr,pearson,0.61999321081041903,0,0,10000
wheel_torque_fl,wheel_torque_rl,pearson,0.63200501774624318,0,0,10000
wheel_torque_fl,wheel_torque_rr,pearson,0.60152499504252133,0,0,10000
wheel_torque_fl,ambient_temp_c,pearson,0.13167511124850975,6.4225484092592877e-40,1.1831010227582897e-39,10000
wheel_torque_fl,battery_soc_roll_mean_50,pearson,0.29675679695165169,1.9477855016946437e-202,7.304195631354913e-202,10000
